official_name,lat,lon,Code,School Address,Public or Private,School Sponsor,Girls/Boys/Mixed,Day or Boarding,Ordinary or Special,Total Enrolment 2007,Total Teaching staff,Pupil Teacher Ratio,Acreage per enrolment,TSC Male Teachers,TSC Female Teachers,Local Authority Male Teachers,Local Authority Female Teachers,PTA Board of Governors Male Teacher,PTA Board of Governors Female Teacher,Other Male Teachers,Other Female Teachers,Non Teaching Staff Male,Non Teaching Staff Female,Acreage,District,Location,Sublocation,School Zone,Costituency,Province
LIGHT ACADEMY,-1.298113, 36.789076,N1010013,13413 NAIROBI,PRIVATE,PRIVATE INDIVIDUAL,BOYS ONLY,DAY & BOARDING,ORDINARY,120,27,4.4,120.0,0,0,0,0,0,0,23,4,23,18,1,DAGORETTI,KENYATTA/GOLF COURSE,WOODLY,RIRUTA,DAGORETTI,NAIROBI
ST. NICHOLAS SENIOR SHOOL - SEC,-1.300428, 36.791216,N1010014,52778-00200 NAIROBI,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,0,13,0.0,0.0,0,0,0,0,7,6,0,0,4,5,5,DAGORETTI,KENYATTA/GOLF COURSE,GOLF COURSE,,DAGORETTI,NAIROBI
MOI GIRLS SCH - NAIROBI,-1.301216, 36.783265,N1010015,43112 NAIROBI,PUBLIC,PRIVATE INDIVIDUAL,GIRLS ONLY,BOARDING ONLY,INTEGRATED,0,54,0.0,,10,43,0,0,1,0,0,0,30,25,0,DAGORETTI,KENYATTA/GOLF COURSE,WOODLY,RIRUTA,DAGORETTI,NAIROBI
UPPER HILL SCH,-1.297473, 36.817364,N1010196,30424-00100 NAIROBI,PUBLIC,CENTRAL GOVERNMENT/DEB,BOYS ONLY,BOARDING ONLY,ORDINARY,836,39,21.4,64.3,12,26,0,0,1,0,0,0,14,12,13,DAGORETTI,KENYATTA/GOLF COURSE,KENYATTA,RIRUTA,DAGORETTI,NAIROBI
SIFMA SECONDARY SCH.,-1.31092, 36.79107,P1011183,67611 NAIROBI,PRIVATE,RELIGIOUS ORGANIZATION,MIXED,DAY ONLY,ORDINARY,19,9,2.1,19.0,0,0,0,0,0,0,6,3,1,1,1,KIBERA,KIBERA,LAINI SABA,KAREN,LANGATA,NAIROBI
LANGATA HIGH SCH,-1.322165, 36.782124,R1010076,47990-00100 NAIROBI,PUBLIC,RELIGIOUS ORGANIZATION,MIXED,DAY ONLY,ORDINARY,617,34,18.1,47.5,11,23,0,0,0,0,0,0,8,8,13,KIBERA,MUGUMOINI,MUGUMOINI,LANGATA WEST,LANGATA,NAIROBI
MALEZI SCHOOL-SEC,-1.318627, 36.787432,R1010085,51736-00200,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY & BOARDING,ORDINARY,44,13,3.4,8.8,0,0,0,0,0,0,9,4,5,5,5,KIBERA,MUGUMOINI,MUGUMOINI,,LANGATA,NAIROBI
SUNSHINE SEC SCH,-1.317807, 36.808488,R1010088,56890-00200 NAIROBI,PRIVATE,PRIVATE INDIVIDUAL,BOYS ONLY,BOARDING ONLY,ORDINARY,891,54,16.5,35.6,0,0,0,0,27,27,0,0,29,14,25,KIBERA,MUGUMOINI,MUGUMOINI,,LANGATA,NAIROBI
ST. ALOYSIUS GONZAGA SEC SCH,-1.307671, 36.771095,R1010139,57421-00200 NAIROBI,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,241,15,16.1,482.0,0,0,0,0,0,0,5,10,2,2,0.5,KIBERA,LANGATA,LANGATA,KAREN,LANGATA,NAIROBI
ST MICHAELS HOLY UNITY SEC. SCH,-1.308223, 36.771274,R1010142,8713-00200,PRIVATE,COMMUNITY,MIXED,DAY & BOARDING,ORDINARY,80,12,6.7,320.0,0,0,0,0,2,3,6,1,1,1,0.25,KIBERA,LANGATA,LAINI SABA,KAREN,LANGATA,NAIROBI
