WKT,kenyaopendata:Boys Toilets,kenyaopendata:Costituency,kenyaopendata:District,kenyaopendata:Division,kenyaopendata:GOK TSC Female,kenyaopendata:GOK TSC Male,kenyaopendata:Girls Toilets,kenyaopendata:Level of Education,kenyaopendata:Local Authority Female,kenyaopendata:Local Authority Male,kenyaopendata:Location,kenyaopendata:Non-Teaching Staff Female,kenyaopendata:Non-Teaching Staff Male,kenyaopendata:Others Female,kenyaopendata:Others Male,kenyaopendata:PTA BOG Female,kenyaopendata:PTA BOG Male,kenyaopendata:Province,kenyaopendata:Pupil Classroom Ratio,kenyaopendata:Pupil Teacher Ratio,kenyaopendata:Pupil Toilet Ratio,kenyaopendata:School Institution Type_1,kenyaopendata:School Institution Type_2,kenyaopendata:School Institution Type_3,kenyaopendata:Sponsor of School,kenyaopendata:Status of School,kenyaopendata:Teachers Toilets,kenyaopendata:Total Boys,kenyaopendata:Total Enrolment,kenyaopendata:Total Girls,kenyaopendata:Total Number of Classrooms,kenyaopendata:Total Toilets,kenyaopendata:official_name,osm:_timestamp,osm:_user,osm:accessibility,osm:amenity,osm:boundary_type:Ward_boundary,osm:building:levels,osm:building:material,osm:building:roof,osm:contact:address,osm:contact:phone,osm:education:curriculum,osm:education:exam_center,osm:education:extra_drama,osm:education:extra_music,osm:education:extra_scouts,osm:education:extra_sports,osm:education:fees,osm:education:gender_type,osm:education:government_registered,osm:education:management_committee,osm:education:program_counselling,osm:education:program_feeding,osm:education:program_sanitary_towel,osm:education:pta,osm:education:students,osm:education:teachers,osm:education:teachers_female,osm:education:teachers_male,osm:education:teachers_trained,osm:education:tsc_employed,osm:education:type,osm:electricity:operational_status,osm:id,osm:image:classroom,osm:image:compound,osm:image:other,osm:image:outside,osm:is_in:constituency,osm:is_in:estate,osm:is_in:ward,osm:location,osm:name,osm:official_name,osm:operational_status:electricity,osm:operator:name,osm:operator:type,osm:place:village,osm:toilet:present,osm:contact:email,osm:education:fees_level4,osm:education:fees_level5,osm:education:program_orphans,osm:education:student_age_range,osm:education:students_female,osm:education:students_male,osm:opening_hours,osm:education:boarding,osm:education:fees_level1,osm:education:fees_level2,osm:education:fees_level3,osm:education:program_counseling,osm:education:program_other,osm:education:program_special_needs,osm:education:program_sports,osm:education:staff_female,osm:education:staff_male,osm:media:video_device_number,osm:media:video_number,osm:operational_status,osm:education:fees_optional,osm:education:school_head,osm:image,osm:is_in:village,osm:operator:description,osm:education:description,osm:education:fees_sponsored,osm:source,osm:education:exam_affiliate,osm:education:teachers_untrained,kenyaopendata:Acreage,kenyaopendata:Acreage per enrolment,kenyaopendata:Code,kenyaopendata:Day or Boarding,kenyaopendata:Girls/Boys/Mixed,kenyaopendata:Local Authority Female Teachers,kenyaopendata:Local Authority Male Teachers,kenyaopendata:Non Teaching Staff Female,kenyaopendata:Non Teaching Staff Male,kenyaopendata:Ordinary or Special,kenyaopendata:Other Female Teachers,kenyaopendata:Other Male Teachers,kenyaopendata:PTA Board of Governors Female Teacher,kenyaopendata:PTA Board of Governors Male Teacher,kenyaopendata:Public or Private,kenyaopendata:School Address,kenyaopendata:School Sponsor,kenyaopendata:School Zone,kenyaopendata:Sublocation,kenyaopendata:TSC Female Teachers,kenyaopendata:TSC Male Teachers,kenyaopendata:Total Enrolment 2007,kenyaopendata:Total Teaching staff,osm:education:fees_level6,osm:media:camera_device_number,osm:media:camera_number,osm:education:program_scouting,osm:education:program_description,osm:education:extra_other,osm:education:student_female,osm:education:student_male,osm:education:program_computers,osm:description,osm:station:type_description,osm:education:teachers_tsc,osm:designation,osm:security:gbv_support,osm:toilet:arranged_name,osm:education:program_specialneeds,osm:boundary_type:Constituency_boundary,osm:registered_voters,osm:building,osm:fee,osm:education:committees,osm:health_facility:referals,osm:medical_service:psychosocial_support_counselling,osm:medical_staff:counsellor,osm:medical_staff:description,osm:note,osm:contact:website,osm:addr:postcode,osm:website,osm:education:accessibility,osm:education:management_commitee,osm:education:program_WASH,osm:education:program_handwashing,osm:education:program_rain,osm:education:student_disable,osm:safe_place:acessible,osm:safe_place:compound,osm:safe_place:protected/secure,osm:safe_place:school,osm:security:description,osm:social_facility
"MULTIPOINT ((36.7988296 -1.3104681),(36.798052 -1.30731))",8,DAGORETTI,NAIROBI,DAGORETTI,0,27,15,PRIMARY SCHOOL,0,0,KENYATTA/GOLF COURSE,3,3,0,0,0,1,NAIROBI,56,48,58.4,MIXED,DAY ONLY,ORDINARY,LOCAL GOVERNMENT AUTHORITY,PUBLIC,2,0,1344,0,24,0,SHADRACK KIMALEL PRI SCH,2014/08/25,Blasio,big_vehicles,school,yes,1,concrete,ironsheets,"B O Box 56979 - 00200, Nairobi",0722699646,8_4_4,yes,yes,yes,yes,yes,0,mixed,moe,yes,yes,fees,yes,yes,1000,26,20,6,26,24,primary,often,node/478551902,https://0079f04f78208eb6dbf00f4be735c0a32d71c3ad.googledrive.com/host/0B8cIVKWxH2-6Ynk0MDZJUnNpdUU/Joshua/Schools/Shadrack%20Kimalel%20Primary%20School/classroom.JPG,https://0079f04f78208eb6dbf00f4be735c0a32d71c3ad.googledrive.com/host/0B8cIVKWxH2-6Ynk0MDZJUnNpdUU/Joshua/Schools/Shadrack%20Kimalel%20Primary%20School/compound.JPG,https://0079f04f78208eb6dbf00f4be735c0a32d71c3ad.googledrive.com/host/0B8cIVKWxH2-6Ynk0MDZJUnNpdUU/Joshua/Schools/Shadrack%20Kimalel%20Primary%20School/other.JPG,https://0079f04f78208eb6dbf00f4be735c0a32d71c3ad.googledrive.com/host/0B8cIVKWxH2-6Ynk0MDZJUnNpdUU/Joshua/Schools/Shadrack%20Kimalel%20Primary%20School/outside.JPG,Kibra,Golfcourse,Woodley/Golfcourse/Kenyatta,kibera,Shadrack Kimalel Primary School,SHADRACK KIMALEL PRI SCH,often,Government,government,Golf Course,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MULTIPOINT ((36.7821671 -1.3158823))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015/01/03,JamesLC,foot,school,,1,ironsheets,ironsheets,P.O Box 1051-00200,0726434010,8_4_4,,yes,yes,,yes,3150,mixed,mgcsd,yes,,yes,,,45,3,1,2,,,primary,never,node/612004414,https://0079f04f78208eb6dbf00f4be735c0a32d71c3ad.googledrive.com/host/0B8cIVKWxH2-6Ynk0MDZJUnNpdUU/Schools%20Steve/GUUM%20CBO%20Education%20Center/class.JPG,https://0079f04f78208eb6dbf00f4be735c0a32d71c3ad.googledrive.com/host/0B8cIVKWxH2-6Ynk0MDZJUnNpdUU/Schools%20Steve/GUUM%20CBO%20Education%20Center/compound.JPG,,https://0079f04f78208eb6dbf00f4be735c0a32d71c3ad.googledrive.com/host/0B8cIVKWxH2-6Ynk0MDZJUnNpdUU/Schools%20Steve/GUUM%20CBO%20Education%20Center/building.JPG,,,,kibera,Guum CBO Primary School,,,Guum CBO,cbo,Gatwekera,yes,adhiambonyagol@gmail.com,1050 per term,1050 per term,yes,4-13yrs,18,27,07:00-16:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MULTIPOINT ((36.793287 -1.313207),(36.792426 -1.310584))",1,LANGATA,NAIROBI,KIBERA,0,0,1,PRIMARY SCHOOL,0,0,LAINI SABA,2,5,2,2,0,0,NAIROBI,6.2,9.3,18.5,MIXED,DAY ONLY,INTEGRATED,PRIVATE INDIVIDUAL,PRIVATE,0,22,37,15,6,0,DRUG FIGHTERS PRI SCH,2015/01/03,JamesLC,foot,school,,1,ironsheets,ironsheets,"P O Box 19443 -00100, Nairobi",0722557735,8_4_4,yes,yes,yes,yes,yes,,mixed,mgcsd,yes,yes,fees,yes,yes,243,12,10,2,10,,primary,often,node/612007086,,https://0079f04f78208eb6dbf00f4be735c0a32d71c3ad.googledrive.com/host/0B8cIVKWxH2-6Ynk0MDZJUnNpdUU/Joshua/Schools/Drug%20Rescue%20Center/building.JPG,,https://0079f04f78208eb6dbf00f4be735c0a32d71c3ad.googledrive.com/host/0B8cIVKWxH2-6Ynk0MDZJUnNpdUU/Joshua/Schools/Drug%20Rescue%20Center/gate.JPG,,,,kibera,Bridge 0f Hope Educational Centre,DRUG FIGHTERS PRI SCH,sometimes,Drug Fighters CBO,private,Mashimoni,yes,drugfighters@yahoo.com,2400,2700,yes,3-14yrs,120,123,Mo-Fr 07:00-16:00,yes,2550,2550,2550,yes,Boarding,yes,yes,2,3,8,15,operational,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MULTIPOINT ((36.7805594 -1.3132322),(36.779531 -1.310756))",14,LANGATA,NAIROBI,KIBERA,23,9,9,PRIMARY SCHOOL,0,0,SERA NGOMBE,1,3,0,0,0,0,NAIROBI,77.1,79.5,110.7,MIXED,DAY ONLY,ORDINARY,LOCAL GOVERNMENT AUTHORITY,PUBLIC,2,1233,2545,1312,33,0,OLYMPIC PRI SCH,2017/10/12,muindre,big_vehicles,school,yes,2,cement_block,ironsheets,"P O Box 21461-00505, Nairobi",0711744212,8_4_4,yes,yes,yes,yes,yes,0,mixed,moe,yes,yes,sponsored,yes,yes,4212,60,34,26,43,43,primary,often,node/612007152,https://0079f04f78208eb6dbf00f4be735c0a32d71c3ad.googledrive.com/host/0B8cIVKWxH2-6Ynk0MDZJUnNpdUU/Jacob/Olympic%20Primary/class.JPG,https://0079f04f78208eb6dbf00f4be735c0a32d71c3ad.googledrive.com/host/0B8cIVKWxH2-6Ynk0MDZJUnNpdUU/Jacob/Olympic%20Primary/compound.JPG,https://0079f04f78208eb6dbf00f4be735c0a32d71c3ad.googledrive.com/host/0B8cIVKWxH2-6Ynk0MDZJUnNpdUU/Jacob/Olympic%20Primary/IMG_0192gate.JPG,https://0079f04f78208eb6dbf00f4be735c0a32d71c3ad.googledrive.com/host/0B8cIVKWxH2-6Ynk0MDZJUnNpdUU/Jacob/Olympic%20Primary/sign%20post.JPG,Kibra,Olympic,sarangombe,kibera,Olympic Primary School,OLYMPIC PRI SCH,,Government,government,Olympic,yes,olympicprimary@yahoo.com,,,,,2194,2018,,,,,,,,,,,,,,,Feeding 650,Mr.Caleb Ochieng,https://farm3.staticflickr.com/2742/4089244916_b11b3c7a1f_o.jpg,Olympic,School is run by government,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MULTIPOINT ((36.7882173 -1.311055),(36.788968 -1.30724))",2,LANGATA,NAIROBI,KIBERA,0,0,2,PRIMARY SCHOOL,0,0,KIBERA,0,2,4,4,0,0,NAIROBI,24.5,24.5,49,MIXED,BOARDING ONLY,ORDINARY,PRIVATE INDIVIDUAL,PRIVATE,1,0,196,0,8,0,HURUMA KIBERA PRI. SCH,2015/01/03,JamesLC,,school,,,,,,,,,,,,,,,,,,,,,,,,,,,primary,,node/612007263,,,,,,,,kibera,Kibera Academy,HURUMA KIBERA PRI. SCH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Funded. Has Nursery,Secondary",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MULTIPOINT ((36.7942567 -1.3146991))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017/09/13,Peter Agenga,foot,school,,,mud,ironsheets,,0721641839,8_4_4,,,,,,2700,mixed,mgcsd,yes,,,,,48,2,2,0,0,,pre_primary,often,node/612007264,https://0079f04f78208eb6dbf00f4be735c0a32d71c3ad.googledrive.com/host/0B8cIVKWxH2-6Ynk0MDZJUnNpdUU/Schools%20Steve/Kambi%20Muru%20PAG%20Assembly%20School/Classroom.JPG,https://0079f04f78208eb6dbf00f4be735c0a32d71c3ad.googledrive.com/host/0B8cIVKWxH2-6Ynk0MDZJUnNpdUU/Schools%20Steve/Kambi%20Muru%20PAG%20Assembly%20School/Compound.JPG,,https://0079f04f78208eb6dbf00f4be735c0a32d71c3ad.googledrive.com/host/0B8cIVKWxH2-6Ynk0MDZJUnNpdUU/Schools%20Steve/Kambi%20Muru%20PAG%20Assembly%20School/Sign.JPG,,,,kibera,Kambi Muru Tenderlets CBO School,,,PAG Church,religious,Kambi Muru,yes,makamunancy@gmail.com,,,,,28,20,,,2700,2700,2700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MULTIPOINT ((36.790862 -1.3123932),(36.789668 -1.309757))",10,LANGATA,NAIROBI,KIBERA,0,0,6,PRIMARY SCHOOL,0,0,KIBERA,5,2,0,0,8,14,NAIROBI,49.9,38.5,53,MIXED,DAY ONLY,ORDINARY,COMMUNITY,PRIVATE,2,413,848,435,17,0,MASHIMONI SQUATTERS PRI. SCH,2017/08/22,muindre,big_vehicles,school,yes,,ironsheets,ironsheets,P.O Box 76153-00508,0716583975,8_4_4,,yes,yes,yes,yes,,mixed,mgcsd,yes,yes,yes,yes,,542,21,10,11,,,primary,always,node/612007279,https://0079f04f78208eb6dbf00f4be735c0a32d71c3ad.googledrive.com/host/0B8cIVKWxH2-6Ynk0MDZJUnNpdUU/Schools%20Steve/Mashimoni%20Squaters%20Primary%20School/class.JPG,https://0079f04f78208eb6dbf00f4be735c0a32d71c3ad.googledrive.com/host/0B8cIVKWxH2-6Ynk0MDZJUnNpdUU/Schools%20Steve/Mashimoni%20Squaters%20Primary%20School/compound.JPG,,https://0079f04f78208eb6dbf00f4be735c0a32d71c3ad.googledrive.com/host/0B8cIVKWxH2-6Ynk0MDZJUnNpdUU/Schools%20Steve/Mashimoni%20Squaters%20Primary%20School/sign%20post.JPG,Kibra,,Lindi,kibera,Mashimoni Squatters Primary School,MASHIMONI SQUATTERS PRI. SCH,,Balcraig Foundation,ngo,Kambi Muru,yes,fmuzaya@yahoo.com,,,yes,5-14yrs,283,259,08:00-17:00,,,,,,,,,,,3,16,operational,,,,Mashimon,The school is runned by AIC church in partnership with the foundation,,yes,map_kibera_trust,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MULTIPOINT ((36.7902852 -1.3150596))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015/01/03,JamesLC,foot,school,,1,ironsheets,ironsheets,,,8_4_4,,,,,,4500,mixed,mgcsd,yes,,fees,,,121,4,4,0,1,,pre_primary,often,node/612007401,,,,,,,,kibera,Lindi Ushirika Nursery School,,,Lindi Ushirika,ngo,Lindi,yes,,,,,,67,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MULTIPOINT ((36.7940253 -1.3155859))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015/01/03,JamesLC,foot,school,,0,mud,ironsheets,"P O Box 8109 - 00200, Nairobi",0711 909137,8_4_4,,,yes,yes,,2700,mixed,mgcsd,yes,,fees,,no,193,5,3,2,3,,pre_primary,often,node/612007406,https://0079f04f78208eb6dbf00f4be735c0a32d71c3ad.googledrive.com/host/0B8cIVKWxH2-6Ynk0MDZJUnNpdUU/Joshua/Schools/Saviour%20Kings%20Academy/class.JPG,https://0079f04f78208eb6dbf00f4be735c0a32d71c3ad.googledrive.com/host/0B8cIVKWxH2-6Ynk0MDZJUnNpdUU/Joshua/Schools/Saviour%20Kings%20Academy/compound.JPG,https://0079f04f78208eb6dbf00f4be735c0a32d71c3ad.googledrive.com/host/0B8cIVKWxH2-6Ynk0MDZJUnNpdUU/Joshua/Schools/Saviour%20Kings%20Academy/Douglas.JPG,https://0079f04f78208eb6dbf00f4be735c0a32d71c3ad.googledrive.com/host/0B8cIVKWxH2-6Ynk0MDZJUnNpdUU/Joshua/Schools/Saviour%20Kings%20Academy/sign%20post.JPG,,,,kibera,Saviour Kings Academy,,,Garden Of Eden,ngo,Lindi,yes,,,,,,102,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MULTIPOINT ((36.7950352 -1.3146274))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015/04/16,Blasio,foot,school,,ground,ironsheets,ironsheets,"P O Box 19776 -00100, Nairobi",0719875501,8_4_4,,yes,,,yes,12500,mixed,,,yes,yes,,yes,62,7,1,6,1,,secondary,often,node/612007412,https://0079f04f78208eb6dbf00f4be735c0a32d71c3ad.googledrive.com/host/0B8cIVKWxH2-6Ynk0MDZJUnNpdUU/Joshua/Schools/Rudolf%20High%20School/class.JPG,https://0079f04f78208eb6dbf00f4be735c0a32d71c3ad.googledrive.com/host/0B8cIVKWxH2-6Ynk0MDZJUnNpdUU/Joshua/Schools/Rudolf%20High%20School/compound.JPG,https://0079f04f78208eb6dbf00f4be735c0a32d71c3ad.googledrive.com/host/0B8cIVKWxH2-6Ynk0MDZJUnNpdUU/Joshua/Schools/Rudolf%20High%20School/gate.JPG,https://0079f04f78208eb6dbf00f4be735c0a32d71c3ad.googledrive.com/host/0B8cIVKWxH2-6Ynk0MDZJUnNpdUU/Joshua/Schools/Rudolf%20High%20School/sign%20post.JPG,,,,kibera,Rudolf High School (Closed),,,Paul Ndolo,private,Lindi,yes,,,,,,31,31,,,,,,,,,,,,,,,lunch_1500,,,,,,,,Sloam Secondary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
