WKT,osm:_timestamp,osm:_user,osm:accessibility,osm:amenity,osm:building:levels,osm:building:material,osm:building:roof,osm:contact:address,osm:contact:email,osm:contact:phone,osm:education:exam_center,osm:education:extra_sports,osm:education:fees,osm:education:gender_type,osm:education:government_registered,osm:education:management_committee,osm:education:program_counselling,osm:education:program_feeding,osm:education:program_other,osm:education:pta,osm:education:school_head,osm:education:student_female,osm:education:student_male,osm:education:students,osm:education:teachers,osm:education:teachers_female,osm:education:teachers_male,osm:education:teachers_trained,osm:education:type,osm:electricity:operational_status,osm:id,osm:location,osm:name,osm:operator:name,osm:operator:type,osm:place:village,osm:toilet:present,osm:education:curriculum,osm:education:tsc_employed,osm:education:exam_affiliate,osm:education:extra_drama,osm:education:extra_music,osm:education:extra_scouts,osm:education:fees_level1,osm:education:fees_level2,osm:education:fees_level3,osm:education:fees_level4,osm:education:fees_level5,osm:education:fees_level6,osm:education:fees_optional,osm:education:program_sanitary_towel,osm:education:program_special_needs,osm:education:committees,osm:education:extra_other,osm:operator:description,osm:UNESCO POI'S,osm:education:boarding,osm:level,osm:toilet:arranged_name,osm:education:fees_sponsored
"MULTIPOINT ((36.8556356 -1.2630544))",2016/12/08,fondolucy,big_vehicles,school,1,metal,ironsheets,P O Box 77022-00611,mcedocom@gmail.com,0729643795,yes,yes,15000,mixed,moe,yes,yes,no,enviromental and health club,yes,Jacob DE,74,46,120,5,1,4,5,secondary,sometimes,node/1038064486,mathare,Mcedo Secondary School,MCEDO,cbo,Kosovo,yes,,,,,,,,,,,,,,,,,,,,,,,
"MULTIPOINT ((36.8577145 -1.2654596))",2016/10/21,Tiany,foot,kindergarten,0,cement_block,concrete,,,0712713352,,yes,4500,mixed,mgcsd,,,no,,,Ann Wambui,8,16,24,2,2,0,0,primary,always,node/1038103774,mathare,Inspiration Baby College,Inspiration Centre,religious,Mathare 3C,yes,8_4_4,0,,,,,,,,,,,,,,,,,,,,,
"MULTIPOINT ((36.8599028 -1.2625836))",2016/12/08,muindre,small_cars,school,0,ironsheets,ironsheets,,,0717968466,,yes,,mixed,mgcsd,yes,yes,,,no,Alex Onyango,78,94,172,12,8,4,6,primary,never,node/1038103776,mathare,Bridge International School,Bridge International Academy,ngo,Gumba,yes,,0,muslim primary,yes,yes,yes,7350,7350,7350,8160,8580,8580,activity fee,yes,yes,,,,,,,,
"MULTIPOINT ((36.8587784 -1.2653975))",2016/10/21,Tiany,foot,school,0,wood,ironsheets,,uhuruevans@gmail.com,0727448259,no,yes,4500,mixed,,yes,yes,,,yes,Evans Uhuru,103,70,173,5,1,4,0,primary,never,node/1038103794,mathare,Abundant Life School,,cbo,Mathare 3C,yes,8_4_4,0,,yes,,yes,,,,,,,,yes,,they are 9,Debate and Science Clubs,,,,,,
"MULTIPOINT ((36.8542271 -1.2633561))",2016/12/08,fondolucy,foot,school,1,cement_block,ironsheets,P O BOX 1894-00200,agerc2000@gmail.com,0727931548,,yes,1200 per term,girls_only,mgcsd,yes,yes,Yes,,yes,Mary Atieno,80,,80,4,4,,2,primary,sometimes,node/1100019215,mathare,Angel Girls Education Centre,,private,Kosovo,yes,8_4_4,0,,yes,yes,,,,,,,,100 per term for exams,,,,,Agella Adhiambo,,,,,
"MULTIPOINT ((36.8626015 -1.2612124))",2016/12/08,fondolucy,big_vehicles,school,1,ironsheets,ironsheets,,,,,yes,5400,mixed,mgcsd,no,yes,yes,,,Kenneth Kiliima,124,100,224,11,7,4,4,primary,always,node/1103092195,mathare,ST. MichaelChildren Education Center,Community,Cbo,Mathare Mashimoni,no,8_4_4,0,Aidermarie,yes,yes,yes,,,,,,,,,yes,,,,,,,,
"MULTIPOINT ((36.863691 -1.259784))",2016/12/08,fondolucy,foot,school,1,wood,ironsheets,P O Box 225-00510 Nairobi,andulaj@yahoo.com,0725481011,no,,1200,mixed,mgcsd,yes,,,,yes,Josephat Andula Okama,87,61,148,9,4,5,5,primary,sometimes,node/1103092338,mathare,St. Ngota's Upendo Primary School,Jordan Friends Ministries,religious,Mabatini,yes,8_4_4,2,,,,,,,,,,,,,,Church committe,,,,,,,
"MULTIPOINT ((36.8622628 -1.2610939))",2016/12/08,fondolucy,foot,school,1,wood,ironsheets,,,0729076564,,yes,6300,mixed,no,yes,yes,yes,,,Paul Opiyo,47,157,204,10,6,4,7,primary,always,node/1103092451,mathare,Why Not Academy,whynot,cbo,Mathare Mashimoni,yes,8_4_4,0,caso pendo,,yes,,,,,,,,,yes,,B.O.M,,association,EDUCATION,,,,
"MULTIPOINT ((36.8556102 -1.263157))",2016/12/08,fondolucy,big_vehicles,school,1,cement_block,ironsheets,P O Box 77022-00611 Nairobi,mcedocom@gmail.com,0729643795,yes,,5400,mixed,mgcsd,yes,yes,Yes,Enviromental clubs and health,yes,Benedict Kiage,237,245,489,8,4,4,7,primary,sometimes,node/1109445798,mathare,MCEDO Primary School,MCEDO,cbo,Mathare 4B,yes,8_4_4,,,no,no,,,,,,,,,,,,,,,,,,
"MULTIPOINT ((36.8545676 -1.2629151))",2016/12/08,fondolucy,big_vehicles,kindergarten,0,cement_block,ironsheets,,,0705505930,,,250 per month,mixed,mgcsd,yes,,Yes,,yes,Mary Bakira,130,135,265,9,4,5,2,pre_primary,always,node/1110199069,mathare,Roots Institute Center,Roots Institute Center,cbo,Kosovo,outside_public,8_4_4,0,MCEDO Beijing School,,yes,,,,,,,,,,,,,,,,,,
"MULTIPOINT ((36.8561769 -1.2628307))",2016/12/08,fondolucy,big_vehicles,school,0,cement_block,ironsheets,P O Box 8097-00200 Nairobi,anawezaeducationcentre@yahoo.com,0722228199,,yes,3600,mixed,mgcsd,yes,yes,,,yes,Vincent Okumu,20,25,45,3,1,2,2,primary,never,node/1110227334,mathare,Anaweza Education Centre,,cbo,Mathare 4B,outside_public,8_4_4,0,,yes,yes,yes,,,,,,,,yes,,,,Vincent Okumu,,,,,
"MULTIPOINT ((36.8632328 -1.2590304))",2016/12/08,fondolucy,foot,school,0,wood,ironsheets,,lindahmu@gmail.com,0701000250,,,,mixed,mgcsd,,,,,yes,,0,0,0,0,0,0,0,pre_primary,always,node/1244198595,mathare,Maranatha Academy,Maranatha Pioneer,religious,Mabatini,outside_public,8_4_4,0,,,,,,,,,,,,,,,,,,no,0,,
"MULTIPOINT ((36.8526691 -1.2652553))",2016/12/08,fondolucy,big_vehicles,school,2,cement_block,ironsheets,P O BOX 71484-00622 Nairobi,bondenicentre@gmail.com,,,yes,1030,mixed,moe,yes,yes,Yes,,yes,Kenneth Koskei,472,455,977,32,27,5,32,primary,always,node/4454756893,mathare,Missions Of Hope International (bondeni),Missions Of Hope International,cbo,Mathare 3C,yes,8_4_4,0,,yes,yes,yes,,,,,,,,,,,,,,,0,,
"MULTIPOINT ((36.8541131 -1.264395))",2016/10/21,Tiany,small_cars,school,0,ironsheets,ironsheets,,denstinyjunioreducation@yahoo.com,0724206624/0724506784,no,yes,4500,mixed,mgcsd,yes,yes,,,,Joyce Maina,153,148,301,12,7,5,8,primary,always,node/4454756894,mathare,Destiny Junior Educational Centre,Destiny Junior Education,cbo,Mathare 3B,yes,8_4_4,4,St.Martins in Kibera,yes,yes,yes,,,,,,,,no,,,,,,,,,
"MULTIPOINT ((36.853701 -1.2655997))",2016/12/07,muindre,big_vehicles,school,one,cement_block,ironsheets,PO BOX 73626-00200,,0728030598,,,KSHS 10500,mixed,mgcsd,yes,,other,computer,yes,Josephine Alingo,77,82,159,12,10,2,7,primary,always,node/4454756896,mathare,Naioth Education Centre,Mathare Worship Centre,religious,Mathare 3B,yes,8_4_4,0,Genesis Joy,yes,,yes,,,,,,,KSH 400 for Computer,,,,Health Clubs,Run by Church,,,,,
"MULTIPOINT ((36.8615394 -1.2626041))",2016/10/21,muindre,small_cars,school,0,concrete,ironsheets,,,,,,1800,mixed,mgcsd,yes,,other,,,,,,147,,6,,6,primary,always,node/4456606596,mathare,Maranatha Academy,Maranatha Faith Assembly,religious,Mathare NO 10,yes,8_4_4,,,,,,,,,,,,,,,Church Committee,,,,,,,
"MULTIPOINT ((36.8615078 -1.262763))",2016/12/08,fondolucy,small_cars,school,0,ironsheets,ironsheets,,,,,yes,5400,mixed,,,yes,no,,yes,Caroline Ombewa,150,100,250,7,5,2,0,primary,sometimes,node/4456606815,mathare,Faith Celebration,Faith Celebration Church,religious,Mathare 10,outside_public,8_4_4,0,,yes,yes,yes,,,,,,,,,,,,,,,,,
"MULTIPOINT ((36.8622071 -1.2632193))",2016/12/08,fondolucy,big_vehicles,school,1,ironsheets,ironsheets,,,,,yes,15000,mixed,mgcsd,,yes,Yes,Sponsorship,,,18,17,35,,1,2,3,secondary,always,node/4456611009,mathare,AIC Zion High School,AIC Zion Church,religious,Mathare 10,yes,8_4_4,0,,,,yes,,,,,,15000,3500,,yes,BOM,,,,,,,
"MULTIPOINT ((36.8622051 -1.2632369))",2016/12/08,fondolucy,big_vehicles,school,0,ironsheets,ironsheets,P O Box 71388-0062 Nairobi,aicmathare@yahoo.co.uk,,yes,yes,5400,mixed,mgcsd,,yes,Yes,,,,198,190,388,15,8,7,15,primary,often,node/4457506593,mathare,AIC Zion Education Centre,AIC Zion Church,religious,Mathare 10,yes,8_4_4,0,,,,,3000,3000,3000,1800,1800,1800,,yes,yes,,,,,,,,
